Rank,Name,Net Worth (Billion $),Age,State,Source
1,Elon Musk,251,52,Texas,Tesla & SpaceX
2,Jeff Bezos,161,59,Washington,Amazon
3,Larry Ellison,158,79,California,Oracle
4,Warren Buffett,121,93,Nebraska,Berkshire Hathaway
5,Larry Page,114,50,California,Google
6,Bill Gates,111,67,Washington,Microsoft
7,Sergey Brin,110,50,California,Google
8,Mark Zuckerberg,106,39,California,Facebook
9,Steve Ballmer,101,67,Washington,Microsoft
10,Michael Bloomberg,96.3,81,New York,Bloomberg LP
11,Michael Dell,71.5,58,Texas,Dell Technologies
12,Jim Walton & family,68.2,75,Arkansas,Walmart
13,Rob Walton & family,67.4,78,Arkansas,Walmart
14,Alice Walton,66.5,73,Texas,Walmart
15,Julia Koch & family,59.8,61,New York,Koch Industries
16,Charles Koch & family,54.5,87,Kansas,Koch Industries
17,Jensen Huang,40.7,60,California,Semiconductors
18,Phil Knight & family,39.5,85,Oregon,Nike
19,Jacqueline Mars,38.9,83,Virginia,Candy & pet food
19,John Mars,38.9,87,Wyoming,Candy & pet food
21,MacKenzie Scott,37.1,53,Washington,Amazon
22,Ken Griffin,35.4,54,Florida,Hedge funds
23,Stephen Schwarzman,34.5,76,New York,Investments
24,Miriam Adelson & family,32.8,77,Nevada,Casinos
25,Len Blavatnik,30.7,66,,Music & chemicals
25,Jim Simons,30.7,85,New York,Hedge funds
27,Thomas Peterffy,29.7,79,Florida,Discount brokerage
28,Jeff Yass,28.9,65,Pennsylvania,Trading & investments
29,Abigail Johnson,25.5,61,Massachusetts,Fidelity
30,Harold Hamm & family,25.2,77,Oklahoma,Oil & gas
